,x,y,c,ind+1
635,-47.984123,-129.0243,11,188603
636,-1.9002444,3.118034,5,188629
637,219.24658,5.958184,15,188714
638,1.9980354,23.332748,5,188963
639,-96.82566,-53.74159,11,189454
640,-92.07158,-67.37968,11,189542
641,-78.60972,-116.55233,11,189756
642,-189.58208,4.428524,8,189891
643,43.518776,-80.48433,2,190649
644,-48.560303,-148.17557,7,190964
645,13.472271,94.41711,9,191099
646,38.85685,-13.983167,5,191477
647,-76.32373,16.807323,12,192366
648,-34.111225,-132.61932,7,192617
649,189.5028,-27.17496,5,192650
650,-32.166508,134.08101,1,192867
651,-101.63331,-92.981415,11,192876
652,-133.534,-25.21486,4,192912
653,40.89415,-73.20652,2,193474
654,-49.374516,3.4799151,12,193968
655,-93.66805,-67.90221,11,194232
656,-122.26299,58.191532,3,194281
657,-120.85756,-114.29428,11,194414
658,-161.95007,-12.602948,4,194587
659,112.31523,-114.42871,13,194836
660,-141.03621,59.165764,3,194898
661,104.20883,79.12066,15,194916
662,10.213264,-57.017876,2,195242
663,40.19791,-131.0704,2,195528
664,-35.581757,-135.47272,7,195837
665,9.926801,100.201294,9,195881
666,-36.276867,-51.150646,11,195969
667,94.49914,-120.203476,13,196122
668,24.635977,-109.02596,7,196882
669,-180.26244,35.6505,3,197299
670,-117.20039,152.27808,14,197884
671,-97.96869,-109.318665,11,198046
672,-174.61395,39.21917,3,198212
673,102.568245,41.78992,15,198970
674,-151.26372,-29.574402,4,200220
675,124.023,-98.3869,13,200462
676,-161.5995,-40.702934,4,200604
677,26.43197,-53.351746,2,200862
678,-59.394966,-128.19392,11,201122
679,-31.557117,-161.80003,7,201270
680,48.88406,2.279797,5,201271
681,-129.0438,-12.951591,4,201432
682,-159.06874,-47.60178,4,202606
683,-164.09251,-44.924313,4,202799
684,-94.47315,-106.694405,11,202838
685,-89.162926,43.986813,12,203464
686,215.20396,1.967522,15,203478
687,-129.03935,-112.051865,11,203546
688,-156.68268,-39.10793,4,203574
689,-39.859634,-22.51212,2,203589
690,-35.211422,-186.92079,7,203703
691,-35.65276,-76.699165,11,203986
692,-93.27095,-45.419296,11,204204
693,-68.13593,108.71014,9,204679
694,-12.87534,120.10506,9,204715
695,-96.79838,-61.73956,11,205410
696,-216.56204,38.471836,8,206256
697,-83.087006,29.090137,12,206547
698,64.7204,-156.84494,13,206670
699,-22.565887,122.9735,1,207068
700,-122.41605,-106.771614,11,207462
701,-123.17357,-113.07722,11,208146
702,-75.04589,-5.730607,12,209004
703,-108.789764,133.28975,14,209227
704,-178.36473,-30.240412,4,209478
705,-162.0672,-31.32571,4,209535
706,-6.4868927,-85.374275,7,209622
707,-32.871918,123.20566,1,209681
708,-11.233515,-153.51256,7,209972
709,111.5105,175.15935,6,210878
710,-81.92584,49.89813,12,211180
711,-170.07922,-33.42428,4,211181
712,27.435146,118.629456,9,211611
713,-90.68455,17.78564,12,211665
714,-0.6558687,-83.57662,7,211706
715,24.262772,81.26872,9,212178
716,-111.38492,45.736725,3,212190
717,146.3049,-125.492035,13,212285
718,137.44095,-137.67677,13,212388
719,-123.33004,-12.327994,4,212816
720,-109.11831,-2.6037982,4,212978
721,-220.87589,20.90148,8,213518
722,-79.18415,53.987263,12,213523
723,-86.27812,-3.2551422,12,213524
724,-193.48476,12.482965,8,213643
725,-120.609406,-8.264337,4,213648
726,11.611532,-60.5674,2,213969
727,53.201004,-62.938343,2,214174
728,-33.5373,-175.66994,7,215317
729,-108.253555,-128.20152,11,215922
730,139.28915,-50.677444,13,216245
731,-103.25815,140.49258,14,216551
732,-27.78542,95.44664,9,216621
733,-114.69976,-23.821924,4,216638
734,-168.74295,-41.804424,4,216705
735,-29.878298,-205.31879,7,217125
736,7.027923,-163.27177,7,217246
737,25.394178,-185.03024,7,217633
738,-173.7656,24.4095,3,218406
739,-47.66922,-200.63121,7,218609
740,-92.64476,-88.875206,11,218686
741,-124.867325,57.499313,3,218692
742,40.492325,75.98348,10,219053
743,58.770084,-31.085114,2,219544
744,-147.13081,52.917744,8,220362
745,22.128511,-97.78069,2,220596
746,-16.105114,90.03864,9,220799
747,-84.04798,-105.04602,11,221053
748,-134.64137,61.463383,3,221127
749,-123.58021,-33.72289,4,221333
750,-92.5349,-124.70829,11,221660
751,-215.89102,-25.108755,8,222189
752,-122.58599,-42.95278,4,222305
753,-100.50289,-79.75928,11,222353
754,-76.82829,-28.415043,11,222864
755,28.329792,-73.27083,2,223371
756,220.35878,14.784021,15,223493
757,-126.49622,-4.63383,4,223615
758,-191.48338,13.180867,8,224503
759,-45.22397,-19.303377,7,224996
760,64.38389,42.201756,15,225533
761,-58.341225,13.995447,12,226075
